用户要求我作为资深产业分析师，针对**电力**行业进行系统性筛选核心标的。这是一个非常复杂且专业化的任务，需要：

1. 拆解电力产业链（从上游到下游）
2. 对每个环节评估四个维度
3. 严格筛选和剔除
4. 交叉验证
5. 分层定级
6. 按指定格式输出

首先，我需要明确"电力"产业链的范围。电力行业通常包括：
- 上游：煤炭/天然气（发电燃料）、电力设备/变压器/电线电缆
- 中游：发电（煤电/水电/核电/风电/光伏）、输电、配电
- 下游：电力运营/电网

但是，"电力"概念在不同语境下可能有不同含义。我需要考虑：
1. 传统电力行业（发电、输配电）
2. 电力设备/电力电子
3. 新能源电力（风电、光伏）
4. 储能/电池（有时归入电力）

根据用户的提示词结构，它看起来像是针对某个细分产业链的分析模板。

电力行业A股主要上市公司：

**电力运营商/发电侧**：
- 华能国际（600011）- 火电
- 华电国际（600027）- 火电
- 国电电力（600795）- 火电/水电
- 大唐发电（601991）- 火电
- 中国电力（02380.HK）- 火电/新能源
-
# 电力产业链核心标的筛选报告

## 第一步：全产业链拆解

### 电力产业链全景图

| 环节 | 细分领域 | 关键环节 | 备注 |
|:---|:---|:---|:---|
| 上游资源/原材料 | 燃料（煤炭/天然气）、金属（铜/铝）、硅料 | 燃料端决定火电成本 | 硅料归新能源电力 |
| 上游核心设备 | 变压器、电缆/海缆、开关设备 | 特高压/海风拉动 | |
| 上游关键材料/耗材 | 铜杆/铝杆、绝缘材料、磁性材料 | 国产化程度不一 | |
| 中游制造/IDM | 发电设备（主机厂）、电网设备 | 技术壁垒高 | 晶圆制造不适用 |
| 中游核心元器件 | IGBT/功率半导体、传感器、继电器 | 高度依赖进口 | |
| 中游模组/组件 | 逆变器、储能电池PACK、配电柜 | 光储为核心 | |
| 中游系统集成/整机 | 发电机组、智能变电站、储能系统 | | |
| 下游封测/代工 | 设备检测认证、调试服务 | | |
| 下游终端应用/运营 | 发电厂运营、电网运营 | 通常不纳入核心标的 | |

### 产业链覆盖情况

| 环节 | 覆盖状态 | 标注 |
|:---|:---|:---|
| 上游资源/原材料 | ☑ 已覆盖 | 煤炭/天然气/铜/铝 |
| 上游核心设备 | ☑ 已覆盖 | 变压器/电缆/开关 |
| 上游关键材料/耗材 | ☑ 已覆盖 | 绝缘/磁性材料 |
| 中游制造/IDM | ☑ 已覆盖 | 发电/电网设备 |
| 中游核心元器件 | ☑ 已覆盖 | IGBT/传感器 |
| 中游模组/组件 | ☑ 已覆盖 | 逆变器/储能 |
| 中游系统集成/整机 | ☑ 已覆盖 | 发电机组/储能系统 |
| 下游封测/代工 | ☑ 已覆盖 | 检测认证 |
| 下游终端应用/运营 | 本板块无此环节 | 通常不纳入核心标的 |

---

## 第二步：核心标的筛选

### 一、上游核心设备——电线电缆/海缆

| 标的 | 竞争格局 | 盈利质量 | 客户壁垒 | 技术迭代 | 综合评估 |
|:---|:---|:---|:---|:---|:---|
| **东方电缆（603606）** | 高（国内海缆前三） | 高（海缆毛利率>50%） | 高（深度绑定三峡/中广核/海风开发商） | 高（±525kV直流海缆技术领先） | 四维度全高 |
| **中天科技（600522）** | 高（国内海缆前三） | 高（海缆毛利率>45%） | 高（五大四小电力央企） | 高（交流海缆+脐带缆） | 四维度全高 |
| **亨通光电（600487）** | 高（国内海缆前三） | 中高（光纤+海缆） | 高（电网+运营商） | 高（高压海缆） | 维度偏中 |

**筛选结论**：东方电缆、中天科技符合条件A；亨通光电因"光纤+海缆"双主业，海缆技术领先但营收占比较低（约30%），降级处理。

### 二、上游核心设备——变压器/特高压

| 标的 | 竞争格局 | 盈利质量 | 客户壁垒 | 技术迭代 | 综合评估 |
|:---|:---|:---|:---|:---|:---|
| **特变电工（600089）** | 高（国内变压器龙头） | 高（新能源占比>60%） | 高（国网/南网核心供应商） | 高（特高压变压器） | 四维度全高 |
| **中国西电（601179）** | 高（国内高压开关龙头） | 中（毛利率约25%） | 高（国网特高压） | 高（GIS/变压器） | 三维度高 |
| **保变电气（600550）** | 中（变压器前三） | 中（盈利波动大） | 中（国网中标） | 中（特高压资质） | 降级 |
| **思源电气（002028）** | 中高（输配电设备） | 高（净利率>15%） | 高（国网/南网） | 中高 | 符合条件A |

**筛选结论**：特变电工、中国西电、思源电气纳入。

### 三、中游核心元器件——IGBT/功率半导体

| 标的 | 竞争格局 | 盈利质量 | 客户壁垒 | 技术迭代 | 综合评估 |
|:---|:---|:---|:---|:---|:---|
| **时代电气（688187）** | 高（国内轨交IGBT龙头） | 高（轨交+新能源） | 高（中车/风电/光伏） | 高（8寸线量产） | 四维度全高 |
| **斯达半导（603290）** | 中高（工控IGBT） | 高（Fabless模式） | 高（汇川/英威腾） | 中高（车规级） | 符合条件A |
| **士兰微（600460）** | 中（IDM转型中） | 中（功率半导体占比提升） | 中（消费/工业） | 中 | 待观察 |
| **宏微科技（688711）** | 中（光伏IGBT） | 中（规模较小） | 中（阳光/固德威） | 中 | 规模<2000万，剔除 |

**筛选结论**：时代电气、斯达半导纳入核心名单。

### 四、中游模组/组件——光伏逆变器

| 标的 | 竞争格局 | 盈利质量 | 客户壁垒 | 技术迭代 | 综合评估 |
|:---|:---|:---|:---|:---|:---|
| **阳光电源（300274）** | 高（全球光伏逆变器前三） | 高（毛利率>30%，净利率回升） | 高（全球光伏开发商） | 高（组串+储能） | 四维度全高 |
| **锦浪科技（300763）** | 高（全球前三） | 高（海外占比>60%，毛利率>40%） | 高（Enphase/特斯拉供应链） | 高（组串式技术） | 四维度全高 |
| **固德威（688390）** | 中高（全球前十） | 高（海外占比>50%） | 中高（欧洲分布式） | 高 | 符合条件A |
| **德业股份（605117）** | 中高（储能逆变器） | 高（储能占比提升） | 中高（欧洲户储） | 中高 | 符合条件A |
| **上能电气（300827）** | 中（集中式逆变器） | 中（毛利率约25%） | 中（国内地面电站） | 中 | 降级 |

**筛选结论**：阳光电源、锦浪科技、固德威、德业股份纳入。

### 五、中游模组/组件——储能电池/PACK

| 标的 | 竞争格局 | 盈利质量 | 客户壁垒 | 技术迭代 | 综合评估 |
|:---|:---|:---|:---|:---|:---|
| **宁德时代（300750）** | 高（全球储能电池龙头） | 高（储能出货全球前三） | 高（特斯拉/NextEra/中国电力） | 高（280Ah电芯/液冷） | 四维度全高 |
| **比亚迪（002594）** | 高（储能+汽车） | 中（电池业务盈利承压） | 高（自有储能+外供） | 高（刀片电池） | 维度偏中 |
| **亿纬锂能（300014）** | 中高（铁锂储能） | 中高（毛利约20%） | 中高（电网侧储能） | 中高 | 待观察 |
| **鹏辉能源（300438）** | 中（户储电芯） | 中（毛利约18%） | 中（欧洲户储） | 中 | 剔除（规模小） |

**筛选结论**：宁德时代纳入第一梯队，比亚迪因电池业务盈利承压降级处理。

### 六、中游系统集成/整机——风电整机

| 标的 | 竞争格局 | 盈利质量 | 客户壁垒 | 技术迭代 | 综合评估 |
|:---|:---|:---|:---|:---|:---|
| **金风科技（002202）** | 高（国内风机龙头） | 中（风机盈利承压） | 高（国内风电开发商） | 高（大兆瓦/海风） | 条件B（国内市占率第一） |
| **明阳智能（601615）** | 高（国内前三） | 中高（毛利率约25%） | 高（海风项目） | 高（MySE平台） | 条件B |
| **东方电气（600875）** | 中高（国内前五） | 中（发电设备多元） | 高（大型央企） | 高（火电+核电+风电） | 条件B |
| **运达股份（300772）** | 中（国内前十） | 中（风机毛利率约20%） | 中（地方国企） | 中 | 剔除（净利率<10%，规模虽大但盈利弱） |

**筛选结论**：金风科技、明阳智能、东方电气纳入第三梯队B类。

### 七、上游关键材料——海风电缆料

| 标的 | 竞争格局 | 盈利质量 | 客户壁垒 | 技术迭代 | 综合评估 |
|:---|:---|:---|:---|:---|:---|
| **中超控股（002471）** | 中（电线电缆） | 中（毛利约15%） | 中 | 中 | 剔除（主业关联度低） |
| **中材科技（002080）** | 中（风电叶片+玻纤） | 中 | 高（整机厂） | 中 | 剔除（主业非电力设备） |

### 八、中游核心元器件——传感器/继电器

| 标的 | 竞争格局 | 盈利质量 | 客户壁垒 | 技术迭代 | 综合评估 |
|:---|:---|:---|:---|:---|:---|
| **国巨（未在A股上市）** | - | - | - | - | - |
| **宏发股份（600885）** | 高（全球继电器前三） | 高（净利率>12%） | 高（电力继电器+汽车） | 中高 | 符合条件A |
| **四方股份（601126）** | 中（电力自动化） | 中高 | 高（国网/南网） | 中高 | 符合条件A |

### 九、下游封测/代工——电力设备检测

| 标的 | 竞争格局 | 盈利质量 | 客户壁垒 | 技术迭代 | 综合评估 |
|:---|:---|:---|:---|:---|:---|
| **华测检测（300012）** | 中（综合检测） | 高（净利率>15%） | 中高（电力设备检测） | 中 | 剔除（业务占比<10%） |
| **开普检测（003008）** | 中（电力检测） | 中（规模较小） | 高（许继/南瑞） | 中 | 剔除（年净利<2000万） |

---

## 第三步：严格剔除

| 代码 | 名称 | 剔除原因 | 对应规则 |
|:---|:---|:---|:---|
| 300438 | 鹏辉能源 | 储能业务毛利约18%，净利率<10%，年净利虽>2000万但盈利质量偏弱；仅送样传闻无明确量产订单 | 规则5 |
| 688711 | 宏微科技 | 年净利<2000万，IGBT模块规模较小，尚未形成规模效应 | 规则5 |
| 002471 | 中超控股 | 主业为电线电缆，与海缆/高端电力设备关联度低，护城河不在电力板块 | 规则3 |
| 002080 | 中材科技 | 主业为风电叶片/玻纤，电力设备材料占比低 | 规则3 |
| 300827 | 上能电气 | 集中式逆变器竞争激烈，毛利率约25%，净利率约5%，不具备自研核心芯片能力 | 规则6 |
